Company Name;Characteristics;Data Link;Fidelity;Synchronisation;Interfaces;Counterpart;Creation;Purpose;Lifecycle;Capabilities;Data Sources
GE;Counterpart,Synchronisation,Purpose,Capabilities;0;0;1;0;1;0;1;0;1;0
Oracle;Counterpart;0;0;0;0;1;0;0;0;0;0
Dassault;Counterpart,Synchronisation,Purpose,Interfaces,Fidelity,Capabilities;0;1;1;1;1;0;1;0;1;0
ABB;Fidelity,Synchronisation,Purpose,Counterpart,Capabilities,Lifecycle,Data Sources;0;1;1;0;1;0;1;1;1;1
SAP;Counterpart,Purpose,Capabilities,Lifecycle;0;0;0;0;1;0;1;1;1;0
Bosch;Counterpart,Fidelity,Interfaces;0;1;0;1;1;0;0;0;0;0
Anylogic;Counterpart,Purpose,Synchronisation,Lifecycle,Data Sources;0;0;1;0;1;0;1;1;0;1
IBM;Counterpart,Fidelity,Purpose,Data Link,Data Sources;1;1;0;0;1;0;1;0;0;1
Deloitte 2017;Counterpart,Purpose,Lifecycle,Capabilities;0;0;0;0;1;0;1;1;1;0
Accenture;Counterpart,Creation,Fidelity,Capabilities;0;1;0;0;1;1;0;0;1;0
Schindler;Lifecycle,Creation,Capabilities,Purpose;0;0;0;0;0;1;1;1;1;0
Rolls Royce;Counterpart,Synchronisation,Creation,Fidelity,Lifecycle;0;1;1;0;1;1;0;1;0;0
Huawei;Counterpart,Synchronisation,Capabilities,Lifecycle;0;0;1;0;1;0;0;1;1;0
Lenze;Counterpart,Fidelity,Capabilities;0;1;0;0;1;0;0;0;1;0
IDTA;Counterpart,Lifecycle;0;0;0;0;1;0;0;1;0;0
ProSim;Counterpart,Synchronisation,Capabilities;0;0;1;0;1;0;0;0;1;0
The Industry IoT Consortium;Counterpart,Synchronisation,Fidelity;0;1;1;0;1;0;0;0;0;0
digital twin consortium;Counterpart,Synchronisation,Fidelity,Purpose,Capabilities;0;1;1;0;1;0;1;0;1;0
ITficient;Counterpart,Purpose,Capabilities;0;0;0;0;1;0;1;0;1;0
Deloitte 2020;Capabilities,Counterpart;0;0;0;0;1;0;0;0;1;0
Microsoft (Azure);Counterpart,Capabilities,Lifecycle;0;0;0;0;1;0;0;1;1;0
Amazon (aws);Counterpart,Capabilities,Purpose,Data Sources;0;0;0;0;1;0;1;0;1;1
Facebook;Counterpart,Capabilities;0;0;0;0;1;0;0;0;1;0
Nvidia;Capabilities,Fidelity,Counterpart;0;1;0;0;1;0;0;0;1;0
Cisco;Counterpart,Capabilities,Synchronisation,Data Sources;0;0;1;0;1;0;0;0;1;1
Tata;Counterpart,Synchronisation,Capabilities,Purpose;0;0;1;0;1;0;1;0;1;0
Intel;Counterpart,Synchronisation,Capabilities,Purpose;0;0;1;0;1;0;1;0;1;0
Huawei;Synchronisation,Counterpart,Data Link,Capabilities;1;0;1;0;1;0;0;0;1;0
Hitachi;Counterpart,Capabilities,Data Sources,Data Link,Purpose;1;0;0;0;1;0;1;0;1;1
Landis und Gyr;Data Sources,Counterpart,Capabilities,Purpose;0;0;0;0;1;0;1;0;1;1
Heidenhain;Counterpart,Fidelity,Capabilities,Purpose;0;1;0;0;1;0;1;0;1;0
T Systems;Data Sources,Counterpart,Capabilities,Creation,Fidelity,Lifecycle;0;1;0;0;1;1;0;1;1;1
AIA Aerospace Industries Association;Counterpart,Synchronisation,Lifecycle,Purpose;0;0;1;0;1;0;1;1;0;0
Gartner;Counterpart;0;0;0;0;1;0;0;0;0;0
Tata;Counterpart,Capabilities,Purpose;0;0;0;0;1;0;1;0;1;0
SAS;Purpose,Capabilities,Fidelity,Synchronisation,Data Sources,Counterpart,Lifecycle;0;1;1;0;1;0;1;1;1;1
Hexagon (PPM);Capabilities,Lifecycle,Counterpart,Synchronisation,Purpose;0;0;1;0;1;0;1;1;1;0
Boeing;Fidelity,Lifecycle,Capabilities,Counterpart,Purpose;0;1;0;0;1;0;1;1;1;0
Linde;Data Sources,Capabilities,Synchronisation,Counterpart,Purpose;0;0;1;0;1;0;1;0;1;1
SMS Group;Counterpart,Creation,Data Sources,Lifecycle,Capabilities,Purpose,Synchronisation;0;0;1;0;1;1;1;1;1;1
Industrie2025;Counterpart,Synchronisation,Data Link,Lifecycle;1;0;1;0;1;0;0;1;0;0
Nomoko;Counterpart;0;0;0;0;1;0;0;0;0;0
ALSO;Counterpart,Synchronisation,Interfaces,Purpose;0;0;1;1;1;0;1;0;0;0
U-Blox;Counterpart,Capabilities,Purpose,Fidelity,Interfaces;0;1;0;1;1;0;1;0;1;0
Swisscom;Counterpart,Interfaces;0;0;0;1;1;0;0;0;0;0
Swiss;Interfaces,Counterpart,Data Sources;0;0;0;1;1;0;0;0;0;1
Holcim;Lifecycle,Creation,Data Sources,Counterpart;0;0;0;0;1;1;0;1;0;1
Lonza;Counterpart;0;0;0;0;1;0;0;0;0;0
Novartis;Data Sources,Counterpart,Synchronisation,Data Link,Purpose,Capabilities,Lifecycle,Interfaces;1;0;1;1;1;0;1;1;1;1
Roche;Counterpart,Fidelity,Data Sources,Capabilities;0;1;0;0;1;0;0;0;1;1
Swiss Re;Capabilities;0;0;0;0;0;0;0;0;1;0
ASCon Systems;Synchronisation;0;0;1;0;0;0;0;0;0;0
Yokogawa Insilico;Synchronisation,Counterpart,Purpose,Capabilities,Lifecycle;0;0;1;0;1;0;1;1;1;0
Accenture;Counterpart,Data Sources,Fidelity,Interfaces,Lifecycle,Creation;0;1;0;1;1;1;0;1;0;1
ANDRITZ HYDRO AG;Counterpart,Fidelity,Data Sources,Synchronisation;0;1;1;0;1;0;0;0;0;1
Ansaldo Energia Switzerland AG (mit Alleantia);Data Sources,Counterpart,Data Link,Purpose,Interfaces,Capabilities;1;0;0;1;1;0;1;0;1;1
Beckhoff Automation AG;Capabilities,Synchronisation,Fidelity,Creation,Data Sources,Interfaces,Purpose,Lifecycle,Counterpart;0;1;1;1;1;1;1;1;1;1
CyOne Security AG;Counterpart,Capabilities;0;0;0;0;1;0;0;0;1;0
Dematic GmbH;Lifecycle,Counterpart,Fidelity,Purpose,Capabilities,Data Sources;0;1;0;0;1;0;1;1;1;1
dormakaba International Holding AG;Counterpart;0;0;0;0;1;0;0;0;0;0
Feintool System Parts Lyss AG;Counterpart,Capabilities;0;0;0;0;1;0;0;0;1;0
FERAG AG;Data Sources,Interfaces,Capabilities;0;0;0;1;0;0;0;0;1;1
Festo AG;Fidelity,Capabilities,Counterpart,Lifecycle,Interfaces,Data Sources;0;1;0;1;1;0;0;1;1;1
